Country,Average Decade Change,Average Decade Change (%),1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,2020 Global Rank,2020 Global Percent,2020 Median Age,2020 Birth Rate,2020 Migrants
North Korea,2174118,12,14996879,17973650,20799523,23367059,24686435,25867467,10870588,54,0.33,35,1.9,-5403.0
North Macedonia,90858,5,1656783,1907023,2044174,2037936,2093828,2111072,454289,149,0.03,39,1.5,-1000.0
Northern Mariana Islands,7889,55,10143,17613,48002,80338,54087,49587,39444,210,0.0,Unknown,Unknown,Unknown
Norway,300859,7,3875546,4085776,4241636,4491202,4889741,5379839,1504293,119,0.07,40,1.7,28000.0
Oman,774541,48,670693,1017462,1804524,2344253,2881914,4543399,3872706,126,0.06,31,2.9,87400.0
Pakistan,33581174,31,59290872,80624057,115414069,154369924,194454498,227196741,167905869,5,2.9,23,3.6,-233379.0
Palau,1321,11,11366,12252,15293,19726,18540,17972,6606,222,0.0,Unknown,Unknown,Unknown
Palestine,780232,35,1118241,1453620,2124609,3139954,3992278,5019401,3901160,124,0.06,Unknown,Unknown,Unknown
Panama,555642,23,1516188,1956987,2449968,3001731,3623617,4294396,2778208,129,0.05,30,2.5,11200.0
Papua New Guinea,1452116,32,2489059,3104788,3864972,5508297,7583269,9749640,7260581,94,0.12,22,3.6,-800.0
Paraguay,841982,23,2408787,3078912,4059195,5123819,5768613,6618695,4209908,109,0.08,26,2.4,-16556.0
Peru,3948477,20,13562371,17492406,22109099,26654439,29229572,33304756,19742385,44,0.42,31,2.3,99069.0
Philippines,14951078,25,37435586,48419546,61558898,77958223,94636700,112190977,74755391,13,1.43,26,2.6,-67152.0
Poland,1189085,3,32482943,35521429,38064255,38504431,38597353,38428366,5945423,38,0.49,42,1.4,-29395.0
Portugal,322912,4,8683631,9785252,10007346,10300626,10588401,10298192,1614561,90,0.13,46,1.3,-6000.0
Puerto Rico,106789,4,2737619,3214568,3543776,3827108,3717922,3271564,533945,136,0.04,44,1.2,-97986.0
Qatar,528476,93,118007,277450,441675,645937,1713504,2760385,2642378,142,0.04,32,1.9,40000.0
Republic of the Congo,861037,33,1396989,1829256,2385435,3134030,4437884,5702174,4305185,115,0.07,Unknown,Unknown,Unknown
